                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.69973,                0.35134,                 1.0191,                0.99364,                      1,                  0.995,                0.82939,                0.76517,                0.28958,                0.92858,               0.002872,               0.002872,               0.002872
                     38,                0.69262,                 0.3553,                 1.0141,                0.98433,                      1,                  0.995,                0.82246,                0.73367,                0.31051,                0.91317,               0.002674,               0.002674,               0.002674
                     39,                0.69189,                0.35238,                 1.0114,                0.99436,                      1,                  0.995,                0.81731,                0.72905,                0.28535,                0.91879,               0.002476,               0.002476,               0.002476
                     40,                0.63476,                 0.2742,                0.96066,                 0.9964,                      1,                  0.995,                0.83757,                0.70096,                0.26474,                0.90749,               0.002278,               0.002278,               0.002278
                     41,                0.62648,                0.27113,                0.97474,                0.99597,                      1,                  0.995,                0.81677,                0.73081,                0.26956,                0.91708,                0.00208,                0.00208,                0.00208
                     42,                0.61298,                0.26128,                0.97004,                0.99592,                      1,                  0.995,                0.83315,                0.70495,                 0.2426,                0.90808,               0.001882,               0.001882,               0.001882
                     43,                0.60824,                0.26345,                 0.9544,                0.99678,                      1,                  0.995,                0.82499,                0.71651,                0.26092,                0.91869,               0.001684,               0.001684,               0.001684
                     44,                0.59841,                0.26108,                0.96112,                0.99645,                      1,                  0.995,                0.83234,                0.69239,                0.25173,                0.90754,               0.001486,               0.001486,               0.001486
                     45,                0.59703,                  0.253,                0.96707,                0.99759,                      1,                  0.995,                0.83596,                0.69965,                0.25539,                0.91247,               0.001288,               0.001288,               0.001288
                     46,                0.59362,                0.25975,                 0.9712,                0.99672,                      1,                  0.995,                0.82749,                0.70392,                0.26283,                0.91493,                0.00109,                0.00109,                0.00109
                     47,                0.59197,                0.24857,                0.96023,                0.99638,                      1,                  0.995,                0.84428,                0.67969,                0.25448,                0.90358,               0.000892,               0.000892,               0.000892
                     48,                0.57958,                0.23846,                0.96612,                0.99613,                      1,                  0.995,                0.84346,                0.69044,                0.24545,                0.89836,               0.000694,               0.000694,               0.000694
                     49,                0.57031,                0.23636,                0.95285,                0.99604,                      1,                  0.995,                0.84522,                0.69854,                0.25367,                0.90325,               0.000496,               0.000496,               0.000496
